"Subject","Trial #","Motion Description","framerate","Frames 60fps","Status","Worked on by"
1,1,"playground - forward jumps, turn around",120,1376,"Centered","DragonForgedTheArtist"
1,2,"playground - climb",120,2173,"Centered","DragonForgedTheArtist"
1,3,"playground - climb, hang, swing",120,2255,"Centered","DragonForgedTheArtist"
1,4,"playground - climb",120,2149,"Centered","DragonForgedTheArtist"
1,5,"playground - climb, go under",120,2188,"Centered","DragonForgedTheArtist"
1,6,"playground - climb, sit, dangle legs, descend",120,2567,"Centered","DragonForgedTheArtist"
1,7,"playground - climb, sit, dangle legs, jump down",120,2420,"Centered","DragonForgedTheArtist"
1,8,"playground - climb, sit, dangle legs, rock back, lower self to ground",120,1305,"Centered","DragonForgedTheArtist"
1,9,"playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under",120,2121,"Centered","DragonForgedTheArtist"
1,10,"playground - climb, swing, lean back, drop",120,1633,"Centered","DragonForgedTheArtist"
1,11,"playground - climb, hang, lean over, jump down",120,2327,"Centered","DragonForgedTheArtist"
1,12,"playground - climb, pull up, dangle, sit, lower self to ground",120,2055,"Centered","DragonForgedTheArtist"
1,13,"playground - climb, go under, jump down",120,1693,"Centered","DragonForgedTheArtist"
1,14,"playground - climb, jump down, dangle, legs push off against",120,1169,"Centered","DragonForgedTheArtist"
2,1,"walk",120,171,"Centered","DragonForgedTheArtist"
2,2,"walk",120,148,"Centered","DragonForgedTheArtist"
2,3,"run/jog",120,86,"Centered","DragonForgedTheArtist"
2,4,"jump, balance",120,241,"Centered","DragonForgedTheArtist"
2,5,"punch/strike",120,927,"Centered","DragonForgedTheArtist"
2,6,"bend over, scoop up, rise, lift arm",120,1118,"Centered","DragonForgedTheArtist"
2,7,"swordplay",120,1126,"Centered","DragonForgedTheArtist"
2,8,"swordplay",120,750,"Centered","DragonForgedTheArtist"
2,9,"swordplay",120,517,"Centered","DragonForgedTheArtist"
2,10,"wash self",120,1323,"Centered","DragonForgedTheArtist"
3,1,"walk on uneven terrain",120,215,"Centered","DragonForgedTheArtist"
3,2,"walk on uneven terrain",120,182,"Centered","DragonForgedTheArtist"
3,3,"walk on uneven terrain",120,2282,"Centered","DragonForgedTheArtist"
3,4,"walk on uneven terrain",120,2361,"Centered","DragonForgedTheArtist"
5,1,"walk",120,299,"Centered","DragonForgedTheArtist"
5,2,"dance - expressive arms, pirouette",120,562,"Centered","DragonForgedTheArtist"
5,3,"dance - sideways arabesque, turn step, folding arms",120,216,"Centered","DragonForgedTheArtist"
5,4,"dance - sideways arabesque, folding arms, bending back",120,600,"Centered","DragonForgedTheArtist"
5,5,"dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant",120,458,"Centered","DragonForgedTheArtist"
5,6,"dance - cartwheel-like start, pirouettes, jete",120,443,"Centered","DragonForgedTheArtist"
5,7,"dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn",120,596,"Centered","DragonForgedTheArtist"
5,8,"dance - rond de jambe in the air, jete, turn",120,361,"Centered","DragonForgedTheArtist"
5,9,"dance - glissade devant, glissade derriere, attitude/arabesque",120,572,"Centered","DragonForgedTheArtist"
5,10,"dance - glissade devant, glissade derriere, attitude/arabesque",120,409,"Centered","DragonForgedTheArtist"
5,11,"dance - sideways steps, pirouette",120,296,"Centered","DragonForgedTheArtist"
5,12,"dance - arms held high, pointe tendue a terre, upper body rotation",120,677,"Centered","DragonForgedTheArtist"
5,13,"dance - small jetes, pirouette",120,548,"Centered","DragonForgedTheArtist"
5,14,"dance - retire derriere, attitude/arabesque",120,321,"Centered","DragonForgedTheArtist"
5,15,"dance - retire derriere, attitude/arabesque",120,270,"Centered","DragonForgedTheArtist"
5,16,"dance - coupe dessous, jete en tourant",120,263,"Centered","DragonForgedTheArtist"
5,17,"dance - coupe dessous, grand jete en tourant",120,522,"Centered","DragonForgedTheArtist"
5,18,"dance - attitude/arabesque, jete en tourant, bending back",120,915,"Centered","DragonForgedTheArtist"
5,19,"dance - attitude/arabesque, jete en tourant, bending back",120,430,"Centered","DragonForgedTheArtist"
5,20,"dance - attitude/arabesque, jete en tourant, bending back",120,548,"Centered","DragonForgedTheArtist"
6,1,"walk",120,246,"Centered","DragonForgedTheArtist"
6,2,"basketball - forward dribble",120,361,"Centered","DragonForgedTheArtist"
6,3,"basketball - forward dribble",120,264,"Centered","DragonForgedTheArtist"
6,4,"basketball - forward dribble",120,197,"Centered","DragonForgedTheArtist"
6,5,"basketball - forward dribble",120,192,"Centered","DragonForgedTheArtist"
6,6,"basketball - backward dribble",120,200,"Centered","DragonForgedTheArtist"
6,7,"basketball - backward dribble",120,288,"Centered","DragonForgedTheArtist"
6,8,"basketball - sideways dribble",120,170,"Centered","DragonForgedTheArtist"
6,9,"basketball - sideways dribble",120,150,"Centered","DragonForgedTheArtist"
6,10,"basketball - forward dribble, 90-degree left turns",120,557,"Centered","DragonForgedTheArtist"
6,11,"basketball - forward dribble, 90-degree right turns",120,573,"Centered","DragonForgedTheArtist"
6,12,"basketball - forward dribble, 90-degree right turns, crossover dribble",120,611,"Centered","DragonForgedTheArtist"
6,13,"basketball - low, fast free style dribble, dribble through legs",120,2453,"Centered","DragonForgedTheArtist"
6,14,"basketball - crossover dribble, shoot",120,239,"Centered","DragonForgedTheArtist"
6,15,"basketball - dribble, shoot",120,273,"Centered","DragonForgedTheArtist"
7,1,"walk",120,157,"Centered","DragonForgedTheArtist"
7,2,"walk",120,164,"Centered","DragonForgedTheArtist"
7,3,"walk",120,,,
7,4,"slow walk",120,,,
7,5,"slow walk",120,,,
7,6,"walk",120,,,
7,7,"walk",120,,,
7,8,"walk",120,,,
7,9,"walk",120,,,
7,10,"walk",120,,,
7,11,"walk",120,,,
7,12,"brisk walk",120,,,
8,1,"walk",120,,,
8,2,"walk",120,,,
8,3,"walk",120,,,
8,4,"slow walk",120,,,
8,5,"walk/stride",120,,,
8,6,"walk",120,,,
8,7,"walk, exaggerated stride",120,,,
8,8,"walk",120,,,
8,9,"walk",120,,,
